,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,suwannaphum,15.6035,103.8021,307.81,50,12,5.97,TH,1624157408
237,charters towers,-20.1,146.2667,293.41,30,12,3.82,AU,1624157409
238,san isidro,-12.1167,-77.05,291.92,91,90,4.12,PE,1624157380
239,port-cartier,50.0334,-66.8654,285.27,99,100,2.51,CA,1624157410
240,siguiri,11.6667,-9.5,296.71,82,99,3.31,GN,1624157410
241,grafton,42.207,-71.6856,299.21,75,75,2.24,US,1624157411
242,bilma,18.6853,12.9164,304.97,16,48,2.67,NE,1624157411
243,vila velha,-20.3297,-40.2925,292.12,94,75,1.54,BR,1624157243
244,la ronge,55.1001,-105.2842,287.29,72,40,3.09,CA,1624157412
245,tuatapere,-46.1333,167.6833,281.44,76,3,0.97,NZ,1624157412
246,gambo,4.6482,22.2633,293.55,98,100,0.45,CF,1624157413
247,kuusamo,65.9667,29.1833,284.17,87,90,2.06,FI,1624157350
248,revda,56.801,59.9303,290.6,71,84,6.1,RU,1624157271
249,saldanha,-33.0117,17.9442,285.18,50,0,3.98,ZA,1624157315
250,walvis bay,-22.9575,14.5053,291.68,34,1,4.12,NA,1624157239
251,harper,4.375,-7.7169,298.26,86,100,3.55,LR,1624157394
252,fairbanks,64.8378,-147.7164,294.13,68,90,3.6,US,1624157232
253,afikpo,5.8931,7.9374,296.24,97,100,1.67,NG,1624157416
254,palmer,42.1584,-72.3287,297.42,72,90,2.06,US,1624157391
255,wattegama,6.7989,81.4808,300.66,58,97,0.44,LK,1624157417
256,toktogul,41.8708,72.9402,290.52,70,21,0.72,KG,1624157417
257,portland,45.5234,-122.6762,300.48,53,1,0.89,US,1624157400
258,bandikui,27.05,76.5667,304.86,51,93,5.61,IN,1624157418
259,ahipara,-35.1667,173.1667,289.14,85,23,8.17,NZ,1624157419
260,nishihara,26.1842,127.7558,302.96,87,75,8.23,JP,1624157419
261,sungaipenuh,-2.0833,101.3833,297.37,52,99,1.62,ID,1624157299
262,comodoro rivadavia,-45.8667,-67.5,280.07,61,0,8.23,AR,1624157420
263,basna,21.2833,82.8167,301.13,67,100,6.3,IN,1624157420
264,talnakh,69.4865,88.3972,281.59,91,100,2.16,RU,1624157382
265,port lincoln,-34.7333,135.8667,287.03,50,1,2.85,AU,1624157422
266,alta floresta,-9.8756,-56.0861,299.02,55,97,0.53,BR,1624157422
267,awjilah,29.1081,21.2869,295.03,50,0,3.71,LY,1624157422
268,porto novo,6.4965,2.6036,301.05,87,100,3.02,BJ,1624157423
